ts,open,high,low,close,volume
1783540800000,62237.7109375,62267.30078125,62135.01171875,62157.94921875,0
1783541100000,62145.19921875,62172.51953125,62122.0390625,62122.0390625,0
1783541400000,62100.73828125,62209.55859375,62100.73828125,62193.30859375,230219776
1783541700000,62187.08984375,62211.7890625,62124.3203125,62128.4296875,105076736
1783542000000,62131.640625,62148.8984375,62100,62100.58984375,0
1783542300000,62103.53125,62146.9296875,62066.5,62146.9296875,167763968
1783542600000,62144.03125,62225,62138.2109375,62159.98828125,0
1783542900000,62163.671875,62189.58984375,62113.37109375,62115.828125,0
1783543200000,62115.828125,62156.2890625,62035.73828125,62154.73828125,0
1783543500000,62142.109375,62192.76953125,62131.16015625,62131.16015625,458541056
1783543800000,62120,62145.4296875,62005.78125,62036.671875,5246976
1783544100000,62046.80078125,62078.58984375,62028.03125,62078.58984375,0
1783544400000,62084.5390625,62166.19140625,62068.01953125,62158.328125,0
1783544700000,62158.328125,62567.30078125,62090.69921875,62567.30078125,167747584
1783545000000,62501.26953125,62537.140625,62322.80078125,62359.7890625,0
1783545300000,62362.921875,62462.19140625,62308.23046875,62460.98828125,151656448
1783545600000,62452.30859375,62499.05078125,62378.30078125,62389.44921875,239153152
1783545900000,62399.87890625,62406.9296875,62315.41015625,62344.98828125,0
1783546200000,62341.30078125,62347.98828125,62186.78125,62215.48828125,0
1783546500000,62219.19140625,62260.25,62200.01171875,62208.08984375,151818240
1783546800000,62210.05078125,62210.05078125,62012.80078125,62060.08984375,0
1783547100000,62063.19921875,62069.0703125,61945.390625,61993.48828125,0
1783547400000,62004,62004,61802.7890625,61884.83984375,0
1783547700000,61886.890625,61887.69140625,61812.2109375,61856.6484375,385771520
1783548000000,61875.08984375,61896.5,61777.28125,61896.5,75532288
1783548300000,61879.30859375,61999.51171875,61878.19921875,61972.55859375,0
1783548600000,61978.1015625,62037.890625,61976.12109375,62028.3984375,0
1783548900000,62032.87109375,62060.08984375,61952.78125,62013.640625,16914432
1783549200000,62018.08984375,62059.8515625,61982.3984375,62022.01953125,94052352
1783549500000,62026.76171875,62048.9609375,61909.53125,61952.80859375,0
1783549800000,61960.19140625,61978.0703125,61816.01171875,61821.62109375,0
1783550100000,61812.19921875,61849.19140625,61750.03125,61839.96875,0
1783550400000,61845.5,61875.0703125,61756.69921875,61756.69921875,17244160
1783550700000,61751.98046875,61792.4609375,61677.859375,61691.98046875,0
1783551000000,61697.48828125,61751.76953125,61641.0390625,61751.76953125,130011136
1783551300000,61741.8984375,61758.9296875,61721.140625,61730.171875,4118528
1783551600000,61735,61772.1015625,61682.25,61682.25,0
1783551900000,61682.51171875,61766.671875,61674.94140625,61754.9296875,53573632
1783552200000,61746.48046875,61807.87890625,61725.578125,61796.33984375,62959616
1783552500000,61796.33984375,61852.44140625,61683.3203125,61715.98828125,0
1783552800000,61733.98828125,61851.98046875,61733.98828125,61842.0390625,197376000
1783553100000,61842.0390625,61888.0703125,61774.44140625,61862.28125,0
1783553400000,61874.9296875,62003.98828125,61874.359375,61961.859375,165928960
1783553700000,61963.890625,61978.2109375,61920.3984375,61920.3984375,0
1783554000000,61908.41015625,61929.55859375,61823.30078125,61925.23828125,147204096
1783554300000,61912.1015625,61920,61852.8984375,61867.69921875,0
1783554600000,61871.46875,61919.9609375,61865.55859375,61919.9609375,787591168
1783554900000,61921.46875,61945.3984375,61912.1015625,61918.140625,51410944
1783555200000,61915.62890625,61974.3203125,61908.390625,61966.98046875,0
1783555500000,61972.55859375,62034.19140625,61972.55859375,62011.96875,0
1783555800000,62011.96875,62015.078125,61956.5,61971.69921875,319543296
1783556100000,61971.69921875,62049.98828125,61971.69921875,61989.03125,70473728
1783556400000,61978.7109375,61997.0390625,61962.48828125,61981.4296875,0
1783556700000,61979.890625,62040.37109375,61968.19921875,62039.75,42031104
1783557000000,62039.76171875,62174.7890625,62034.80078125,62150.390625,0
1783557300000,62150.390625,62245.08984375,62149.33984375,62216.62890625,0
1783557600000,62211.01953125,62252.48828125,62208.69140625,62252.48828125,12027904
1783557900000,62252.48828125,62271.390625,62226.609375,62258.94140625,339253248
1783558200000,62266.28125,62354.4609375,62261.5390625,62310.01171875,0
1783558500000,62316.94140625,62404.19140625,62282.109375,62400.87890625,13375488
1783558800000,62396.80078125,62408.01171875,62325.0390625,62400.1015625,48760832
1783559100000,62409.8984375,62414.71875,62332.4609375,62414.71875,355760128
1783559400000,62415.2890625,62553.421875,62382,62448.578125,0
1783559700000,62471.21875,62480.26953125,62337.6015625,62350.05078125,196173824
