ts,open,high,low,close,volume
1782864000000,3993.39990234375,3993.89990234375,3987.800048828125,3988.60009765625,245
1782864300000,3988.5,3990.39990234375,3988.300048828125,3988.300048828125,141
1782864600000,3988.300048828125,3989.300048828125,3987,3989,214
1782864900000,3988.60009765625,3989.199951171875,3987.300048828125,3988.800048828125,96
1782865200000,3988.699951171875,3989.89990234375,3987.60009765625,3989.60009765625,156
1782865500000,3989.60009765625,3990.89990234375,3988.89990234375,3990.10009765625,152
1782865800000,3990.10009765625,3993.5,3990.10009765625,3990.60009765625,265
1782866100000,3990.39990234375,3991.10009765625,3987,3987.39990234375,235
1782866400000,3987.10009765625,3987.699951171875,3985.300048828125,3987.699951171875,153
1782866700000,3987.5,3993,3987.10009765625,3992.60009765625,348
1782867000000,3992.39990234375,3994.199951171875,3991.60009765625,3993,253
1782867300000,3993.699951171875,3995.39990234375,3989.199951171875,3989.199951171875,373
1782867600000,3989.10009765625,3989.60009765625,3984.800048828125,3986.39990234375,197
1782867900000,3986.10009765625,3987.699951171875,3985.300048828125,3986,157
1782868200000,3985.800048828125,3985.800048828125,3982.300048828125,3984.800048828125,305
1782868500000,3984.5,3985.5,3982.60009765625,3984.699951171875,228
1782868800000,3984.699951171875,3988,3984.699951171875,3987.5,160
1782869100000,3987.60009765625,3987.60009765625,3985.5,3986.10009765625,161
1782869400000,3986.39990234375,3991.699951171875,3983.300048828125,3989,319
1782869700000,3990,3990.89990234375,3986.300048828125,3988.39990234375,243
1782870000000,3988,3988.300048828125,3984.699951171875,3987.60009765625,342
1782870300000,3986.39990234375,3989.300048828125,3986.300048828125,3988.10009765625,208
1782870600000,3987.800048828125,3990.60009765625,3986.5,3987.5,176
1782870900000,3987.699951171875,3992,3986.5,3986.60009765625,293
1782871200000,3986.60009765625,3990.300048828125,3985.89990234375,3987.800048828125,375
1782871500000,3987.699951171875,3988.699951171875,3977.199951171875,3979.199951171875,1096
1782871800000,3979.5,3981.699951171875,3976.199951171875,3978,527
1782872100000,3978.300048828125,3979.39990234375,3975.89990234375,3979.199951171875,520
1782872400000,3979.39990234375,3982.60009765625,3978.800048828125,3982.10009765625,562
1782872700000,3981.89990234375,3982.60009765625,3980,3980.39990234375,230
1782873000000,3980.60009765625,3981.300048828125,3976.199951171875,3978,393
1782873300000,3977.800048828125,3981,3977,3980.39990234375,292
1782873600000,3980.60009765625,3986.60009765625,3980.39990234375,3984.699951171875,696
1782873900000,3984.800048828125,3986,3981.800048828125,3982.89990234375,545
