ts,open,high,low,close,volume
1785542400000,62938.5390625,62950.62890625,62933.3515625,62936.4609375,0
1785542700000,62942.73046875,62943.2890625,62931.359375,62937.30859375,643072
1785543000000,62937.30078125,62954.51953125,62933.87890625,62954.51953125,0
1785543300000,62954.51953125,62965.98828125,62953.16015625,62965.98828125,0
1785543600000,62974.12109375,62984.98828125,62965.98046875,62980.71875,0
1785543900000,62980.71875,62984.98828125,62978.2890625,62978.2890625,64985088
1785544200000,62980.62890625,62993.69921875,62980.1796875,62980.19140625,0
1785544500000,62980.19140625,62982.6484375,62976.171875,62982.6484375,4085760
1785544800000,62984.51171875,63004.859375,62984.51171875,63004.859375,0
1785545100000,63004.859375,63027.6796875,63001.76171875,63025.2890625,18743296
1785545400000,63025.2890625,63037.5703125,63025.25,63037.5703125,0
1785545700000,63037.5703125,63037.5703125,63024.98046875,63035.7109375,0
1785546000000,63035.7109375,63038.03125,62990.671875,63038.03125,30648320
1785546300000,63038.03125,63055.51171875,63034.66015625,63054.83984375,0
1785546600000,63054.83984375,63072.94921875,63054.83984375,63062.0703125,0
1785546900000,63058.640625,63058.640625,63017.05078125,63026.328125,7976960
1785547200000,63026.328125,63028.12890625,63008.5703125,63028.12890625,0
1785547500000,63028.12890625,63034.55859375,63017.890625,63033.03125,0
1785547800000,63024.25,63041.9296875,63024.25,63032.83984375,32989184
1785548100000,63022.921875,63034.48046875,62958.87890625,62958.921875,0
1785548400000,62962.140625,62967.640625,62944.55859375,62953.3203125,39817216
1785548700000,62954.71875,62955.94921875,62936.87890625,62939.41015625,0
1785549000000,62939.41015625,62969.98828125,62939.3984375,62969.98046875,0
1785549300000,62970,62982.37890625,62965.76953125,62965.76953125,0
1785549600000,62972.078125,62984.91015625,62946.23828125,62948.55859375,0
1785549900000,62932.921875,62955.44140625,62932.921875,62935.640625,48852992
1785550200000,62942.171875,62967.4296875,62942.171875,62967.4296875,93972480
1785550500000,62967.4296875,62972.62109375,62950,62963.890625,0
1785550800000,62969.19140625,63010,62969.19140625,63004.37890625,13082624
1785551100000,63005.078125,63017.26171875,63001.6015625,63003.890625,0
1785551400000,63003.890625,63013.921875,62991.7890625,63011.7109375,0
1785551700000,63003.609375,63009,63003.6015625,63007.6015625,0
1785552000000,63010.109375,63014.9609375,62997.921875,62997.921875,0
1785552300000,62997.921875,63010.48046875,62992.44921875,63004.5703125,0
1785552600000,63008.23828125,63022.390625,63008.23828125,63015.01953125,0
1785552900000,63015.03125,63019.73828125,63014.7109375,63018.7109375,19144704
1785553200000,63013.19921875,63024.328125,63013.19921875,63024.328125,0
1785553500000,63021.0703125,63024.671875,63021.0703125,63024.6484375,0
1785553800000,63024.6484375,63053,63024.6484375,63045.3984375,0
1785554100000,63045.3984375,63048.9609375,63005.25,63005.26171875,0
1785554400000,63006.37890625,63021.5390625,63006.37890625,63018.4609375,0
1785554700000,63018.62890625,63018.62890625,63007.0703125,63007.48046875,0
1785555000000,63007.48046875,63007.48046875,62970.01953125,62983.01953125,0
1785555300000,62976.23046875,62981.640625,62974.9609375,62981.640625,0
1785555600000,62981.640625,62989.83984375,62975.44140625,62987.1015625,0
1785555900000,62987.1015625,62993.05078125,62981.08984375,62990.16015625,0
1785556200000,62990.859375,62993.98046875,62987.73046875,62993.66015625,0
1785556500000,62979.0390625,62996.98046875,62979.0390625,62988.58984375,0
1785556800000,62991.48828125,63022.76171875,62991.48828125,63022.76171875,0
1785557100000,63022.76171875,63029.98046875,63018.83984375,63029.96875,0
1785557400000,63024.9609375,63039.73828125,63023.6484375,63039.73046875,0
1785557700000,63039.73046875,63041.73046875,63039.73046875,63041.71875,0
1785558000000,63037.46875,63042.76171875,63037.4609375,63042.75,0
1785558300000,63042.76171875,63042.78125,63028.890625,63030.609375,0
1785558600000,63030.609375,63051.75,63030.609375,63046.30859375,0
1785558900000,63046.30859375,63050.98828125,63038.1796875,63038.19921875,0
1785559200000,63038.19140625,63041.6484375,63038.19140625,63041.12109375,0
1785559500000,63041.109375,63051,63028.01171875,63046.640625,0
1785559800000,63046.640625,63075,63046.62890625,63075,0
1785560100000,63074.98828125,63093,63060.890625,63060.890625,0
1785560400000,63065.33984375,63080.53125,63047.94140625,63066.078125,0
1785560700000,63072.94921875,63072.94921875,63051.44140625,63057.51953125,22380544
1785561000000,63057.23046875,63072.3984375,63055.23828125,63056.87109375,0
1785561300000,63056.859375,63064.51171875,63038.01171875,63059.33984375,0
1785561600000,63048.328125,63068.94921875,63040.26171875,63040.26171875,0
